id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,__reason
39403,Men,Apparel,Topwear,Shirts,Black,Summer,2014,Casual,U.S. Polo Assn. Men Black Tailored Fit Casual Shirt,no_image_found
39410,Men,Apparel,Topwear,Shirts,Cream,Summer,2014,Casual,U.S. Polo Assn. Men Cream-Coloured Tailored Fit Casual Shirt,no_image_found
39401,Men,Apparel,Bottomwear,Jeans,Blue,Winter,2016,Casual,U.S. Polo Assn. Denim Co. Men Blue Slim Straight Fit Jeans,no_image_found
39425,Men,Apparel,Topwear,Tshirts,Red,Spring,2013,Casual,U.S. Polo Assn. Men Red Polo T-Shirt,no_image_found
12347,Men,Apparel,Topwear,Suits,Red,Winter,2010,Casual,Fastrack Men Red Manhattan Regular Fit Solid Formal Shirt,no_image_found
